Register Number,Exam,Course Code,Course Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,CO1,CO2,CO3,CO4,CO5,CO6,CO_Avg,Category
FKAYSBO004,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",CHE1MN103,Basic inorganic and green chemistry,0.5,2.5,1.0,2.5,2.0,2.5,0.0,0.0,1.0,1.0,5.5,5.0,0.0,0.0,6.0,4.5,4.5,2.5,9.5,5.0,3.12,2.12,3.5,1.5,2.17,4.33,2.79,Below Average
FKAYSBO006,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",CHE1MN103,Basic inorganic and green chemistry,2.5,1.0,0.0,2.0,1.5,3.0,0.0,1.0,0.0,0.0,4.5,5.0,0.0,2.0,4.5,4.0,0.0,0.0,10.0,0.0,3.38,1.0,3.0,1.67,0.0,3.17,2.04,Below Average
FKAYSBO007,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",CHE1MN103,Basic inorganic and green chemistry,2.5,0.5,3.0,2.0,1.0,0.0,0.0,1.5,1.5,0.0,5.0,5.5,3.5,6.0,6.0,6.0,0.0,1.0,10.0,0.0,4.12,2.75,2.33,2.5,0.5,3.83,2.67,Below Average
FKAYSBO008,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",CHE1MN103,Basic inorganic and green chemistry,2.5,0.5,3.0,2.0,1.0,0.0,0.0,1.5,1.5,0.0,5.0,5.5,3.5,6.0,6.0,6.0,0.0,1.0,10.0,0.0,4.12,2.75,2.33,2.5,0.5,3.83,2.67,Below Average
FKAYSBO009,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",CHE1MN103,Basic inorganic and green chemistry,2.5,2.5,0.0,2.5,1.5,3.0,0.0,0.0,0.0,0.0,6.0,3.5,0.0,6.0,5.5,6.0,0.0,1.0,10.0,0.0,3.75,2.12,3.33,2.0,0.0,3.5,2.45,Below Average
FKAYSBO010,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",CHE1MN103,Basic inorganic and green chemistry,0.0,1.5,0.0,1.5,3.0,2.0,2.5,2.0,2.0,1.0,4.0,6.0,0.0,5.5,1.0,2.5,3.0,3.0,0.0,9.5,0.38,4.12,2.0,2.33,2.0,4.33,2.53,Below Average
FKAYBCM010,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,3.0,2.0,3.0,0.0,3.0,3.0,3.0,2.0,0.0,3.0,0.0,6.0,6.0,6.0,0.0,6.0,4.0,6.0,0.0,7.0,2.75,4.0,2.0,3.67,2.33,4.0,3.12,Average
FKAYBCM011,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,3.0,1.0,2.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.25,2.75,2.33,1.0,1.0,2.0,1.89,At-risk
FKAYBCM012,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,0.0,2.0,3.0,0.0,1.0,3.0,3.0,3.0,0.0,3.0,6.0,0.0,0.0,6.0,0.0,1.0,4.0,0.0,0.0,10.0,0.5,4.75,1.33,2.33,2.33,2.0,2.21,Below Average
FKAYBCM013,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.25,1.25,0.67,0.67,1.67,0.33,0.81,At-risk
FKAYBCM014,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,3.0,2.0,3.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,6.0,3.0,5.0,0.0,6.0,0.0,6.0,2.0,0.0,2.5,2.0,2.0,3.67,0.0,4.0,2.36,Below Average
FKAYBCM016,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,0.0,10.0,3.0,4.75,3.33,4.0,4.0,5.33,4.07,Excellent
FKAYBCM017,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,0.0,3.0,3.0,2.0,4.0,2.67,4.0,3.11,Average
FKAYBCM018,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,0.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,6.0,6.0,3.0,6.0,0.0,6.0,5.0,4.0,0.0,8.0,1.5,5.0,1.67,3.67,3.0,5.33,3.36,Average
FKAYBCM020,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,0.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,6.0,0.0,6.0,3.0,6.0,2.0,6.0,0.0,6.0,0.5,4.5,3.0,3.0,2.67,5.33,3.17,Average
FKAYBCM021,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,1.0,2.0,3.0,0.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,6.0,6.0,6.0,6.0,0.0,1.0,2.0,0.0,4.0,2.25,3.25,3.67,1.67,2.33,3.33,2.75,Below Average
FKAYBCM001,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,2.0,2.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,1.0,4.0,6.0,0.0,6.0,3.0,0.0,4.0,1.0,8.0,0.0,3.0,1.5,2.67,2.0,1.67,3.67,2.42,Below Average
FKAYBCM022,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,1.0,2.0,3.0,1.0,2.0,3.0,2.0,0.0,1.0,3.0,1.0,6.0,6.0,5.0,1.0,6.0,6.0,6.0,0.0,10.0,2.25,4.75,2.0,2.67,3.33,4.33,3.22,Average
FKAYBCM023,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,3.0,1.0,3.0,0.0,2.0,3.0,3.0,2.0,1.0,3.0,6.0,6.0,6.0,6.0,0.0,6.0,5.0,4.0,6.0,9.0,4.0,4.5,1.67,3.67,3.0,5.33,3.7,Average
FKAYBCM024,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,3.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,3.0,0.0,6.0,6.0,0.0,10.0,3.0,4.75,3.0,1.0,4.0,6.0,3.62,Average
FKAYBCM025,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,2.0,2.0,3.0,0.0,1.0,3.0,3.0,3.0,2.0,3.0,6.0,6.0,6.0,0.0,3.0,6.0,6.0,6.0,2.0,10.0,3.0,3.25,2.33,4.0,3.67,6.0,3.71,Average
FKAYBCM026,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,2.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.25,0.75,2.33,1.0,1.67,2.0,1.5,At-risk
FKAYBCM027,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,0.0,2.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,6.0,5.0,1.0,0.0,2.0,5.0,0.0,0.0,2.0,2.5,2.33,0.67,2.33,1.67,1.92,At-risk
FKAYBCM028,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.67,1.33,0.33,0.72,At-risk
FKAYBCM029,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,1.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,2.0,3.0,0.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,0.0,10.0,2.25,5.5,3.67,3.0,3.33,4.0,3.62,Average
FKAYBCM030,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,3.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0,3.0,0.0,6.0,6.0,6.0,5.0,6.0,4.0,6.0,10.0,5.0,5.25,4.25,3.33,3.0,2.67,4.0,3.75,Average
FKAYBCM031,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,2.0,1.0,3.0,0.0,2.0,3.0,3.0,0.0,0.0,3.0,0.0,5.0,4.0,6.0,1.0,0.0,6.0,0.0,5.0,5.0,3.0,3.5,2.0,1.0,3.0,1.67,2.36,Below Average
FKAYBCM002,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,10.0,0.0,5.25,3.0,4.0,2.67,3.67,4.0,3.76,Average
FKAYBCM032,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,3.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,6.0,6.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,8.0,0.75,3.5,3.33,2.0,2.67,5.67,2.99,Below Average
FKAYBCM033,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.67,0.0,0.67,0.0,0.26,At-risk
FKAYBCM034,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,3.0,2.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,0.0,2.75,0.75,1.0,0.67,3.0,5.0,2.19,Below Average
FKAYBCM035,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,0.0,3.0,0.0,4.0,4.0,5.0,3.0,3.0,5.0,6.0,7.0,0.0,4.0,2.5,2.67,2.33,2.67,3.33,2.92,Below Average
FKAYBCM036,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,0.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,5.0,3.0,0.0,0.0,3.0,4.0,4.0,1.0,0.0,8.0,0.5,2.5,2.0,2.0,3.0,3.0,2.17,Below Average
FKAYBCM037,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,4.0,6.0,6.0,0.0,8.0,0.75,2.75,1.33,2.33,3.33,4.67,2.53,Below Average
FKAYBCM038,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,0.0,1.0,4.0,5.0,5.0,0.0,8.0,1.5,2.5,1.33,2.33,2.67,4.33,2.44,Below Average
FKAYBCM039,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,0.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,2.0,1.75,2.5,2.67,2.67,2.0,2.0,2.26,Below Average
FKAYBCM040,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,1.0,2.0,2.0,0.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,2.5,3.0,3.0,3.0,3.0,3.33,2.97,Below Average
FKAYBCM041,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0,2.0,3.0,0.0,6.0,5.0,5.0,3.0,4.0,6.0,4.0,0.0,9.0,2.25,4.25,2.67,2.67,3.67,3.33,3.14,Average
FKAYBCM003,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,3.0,2.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,0.0,10.0,3.0,5.5,4.0,3.0,3.33,4.67,3.92,Average
FKAYBCM042,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,6.0,5.0,5.0,1.0,6.0,6.0,6.0,0.0,10.0,2.5,5.0,2.33,4.0,3.67,5.33,3.8,Average
FKAYBCM043,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,0.0,4.0,1.0,5.0,6.0,5.0,0.0,8.0,0.75,4.0,1.33,3.0,3.33,4.67,2.85,Below Average
FKAYBCM044,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,3.0,5.0,6.0,5.0,5.0,0.0,0.0,5.0,6.0,0.0,8.0,1.75,3.75,1.33,0.33,3.33,5.67,2.69,Below Average
FKAYBCM045,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,2.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,3.0,4.0,0.0,5.0,6.0,6.0,0.0,8.0,1.25,4.0,1.0,3.0,3.33,5.0,2.93,Below Average
FKAYBCM046,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,5.0,5.0,4.0,0.0,0.0,5.0,6.0,5.0,0.0,7.0,1.5,2.25,1.33,2.33,3.0,5.0,2.57,Below Average
FKAYBCM047,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,1.25,2.75,1.67,1.67,0.67,2.0,1.67,At-risk
FKAYBCM048,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,0.0,5.0,6.0,6.0,0.0,9.0,2.5,4.5,2.0,3.33,3.67,4.67,3.44,Average
FKAYBCM049,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,0.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,0.0,3.0,4.0,2.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,6.0,0.5,2.5,2.67,1.67,2.33,2.33,2.0,Below Average
FKAYBCM050,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,5.0,3.0,3.0,4.0,1.5,2.25,1.67,1.0,2.67,2.0,1.85,At-risk
FKAYBCM051,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,2.0,6.0,5.0,4.0,0.0,3.0,2.0,3.33,2.33,4.0,5.0,3.28,Average
FKAYBCM004,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,5.0,3.0,4.0,1.0,0.0,4.0,1.0,0.0,7.0,1.5,3.5,1.67,1.0,2.0,2.0,1.94,At-risk
FKAYBCM052,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,0.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,2.0,2.0,5.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,3.0,0.5,1.0,2.0,0.67,2.33,3.0,1.58,At-risk
FKAYBCM054,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,5.0,0.25,1.5,1.67,0.67,2.0,2.33,1.4,At-risk
FKAYBCM055,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,3.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,3.0,5.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,0.0,3.25,1.25,2.67,3.0,3.0,5.33,3.08,Average
FKAYBCM056,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,4.0,2.0,0.0,2.0,6.0,1.25,1.5,1.67,2.33,2.0,0.67,1.57,At-risk
FKAYBCM057,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,0.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,7.0,3.0,3.5,2.67,2.67,3.67,2.33,2.97,Below Average
FKAYBCM058,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,0.0,7.0,1.75,4.0,2.67,3.33,3.33,4.67,3.29,Average
FKAYBCM059,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,5.0,6.0,4.0,1.0,7.0,2.5,4.0,2.67,3.0,3.33,3.67,3.2,Average
FKAYBCM060,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,3.0,4.0,3.0,2.0,4.0,4.0,1.0,6.0,2.0,3.5,2.67,2.0,3.0,4.67,2.97,Below Average
FKAYBCM061,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,0.0,2.0,3.0,0.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,0.0,2.0,3.0,3.0,4.0,4.0,0.0,3.0,0.0,1.75,1.5,2.0,3.0,3.0,1.0,2.04,Below Average
FKAYBCM062,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,0.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,6.0,4.0,4.0,5.0,5.0,5.0,2.0,2.0,7.0,1.75,3.75,3.0,3.0,3.33,3.67,3.08,Average
FKAYBCM005,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,0.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0,6.0,0.0,0.0,4.0,3.0,0.0,8.0,1.75,4.25,2.0,1.0,2.67,1.0,2.11,Below Average
FKAYBCM063,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,2.0,2.0,3.0,0.0,1.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,1.0,5.0,4.0,3.0,5.0,4.0,0.0,7.0,1.25,3.75,2.33,2.33,3.0,3.33,2.66,Below Average
FKAYBCM064,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,3.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,6.0,4.0,4.0,0.0,5.0,5.0,5.0,0.0,8.0,2.5,4.0,1.67,3.33,3.33,4.67,3.25,Average
FKAYBCM065,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,2.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,5.0,0.0,4.0,4.0,0.0,6.0,4.0,5.0,0.0,2.5,2.0,3.0,1.0,3.33,4.0,2.64,Below Average
FKAYBCM066,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,4.0,5.0,0.0,4.0,5.0,5.0,0.0,7.0,2.0,3.75,1.0,2.67,3.33,4.0,2.79,Below Average
FKAYBCM067,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,4.0,4.0,0.0,5.0,1.0,0.0,2.0,3.0,0.0,6.0,0.75,3.25,1.33,0.0,2.33,3.67,1.89,At-risk
FKAYBCM006,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,6.0,6.0,6.0,0.0,6.0,6.0,5.0,9.0,0.0,5.25,2.25,2.0,4.0,3.67,4.0,3.53,Average
FKAYBCM007,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,0.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,6.0,0.0,0.0,6.0,6.0,6.0,0.0,9.0,2.0,3.0,1.67,2.0,2.67,3.67,2.5,Below Average
FKAYBCM008,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,1.0,3.0,3.0,3.0,2.0,3.0,1.0,0.0,3.0,3.0,6.0,0.0,6.0,6.0,0.0,6.0,5.0,6.0,8.0,9.0,4.5,5.25,1.67,2.33,3.67,4.0,3.57,Average
FKAYBCM009,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101,Management Principles and Application,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,2.0,3.0,6.0,0.0,6.0,0.0,5.0,6.0,6.0,4.0,0.0,9.0,3.0,3.0,3.67,4.0,3.67,3.33,3.44,Average
FKAYBCM110,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101-SF,Management Principles and Application,1.0,1.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,2.0,6.0,0.0,4.0,3.0,0.0,0.0,6.0,0.0,4.0,0.5,2.5,3.0,1.0,1.0,4.67,2.11,Below Average
FKAYBCM111,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101-SF,Management Principles and Application,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,4.0,0.5,1.5,1.0,0.67,2.0,1.33,1.17,At-risk
FKAYBCM112,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101-SF,Management Principles and Application,2.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,6.0,0.75,2.5,1.33,2.0,1.0,4.33,1.98,At-risk
FKAYBCM113,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101-SF,Management Principles and Application,3.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,5.0,1.0,1.75,1.33,0.33,2.33,1.33,1.34,At-risk
FKAYBCM114,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101-SF,Management Principles and Application,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,7.0,0.25,1.75,2.0,0.67,2.33,2.0,1.5,At-risk
FKAYBCM115,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101-SF,Management Principles and Application,0.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.25,2.5,1.0,0.33,1.33,0.33,0.96,At-risk
FKAYBCM116,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101-SF,Management Principles and Application,0.0,2.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,2.0,6.0,5.0,6.0,3.0,1.0,6.0,0.0,2.0,7.0,2.25,4.0,2.0,0.67,4.0,2.67,2.6,Below Average
FKAYBCM117,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101-SF,Management Principles and Application,0.0,0.0,2.0,0.0,3.0,3.0,0.0,2.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,5.0,0.5,1.75,2.0,0.67,1.67,3.33,1.65,At-risk
FKAYBCM118,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",COM1CJ101-SF,Management Principles and Application,2.0,2.0,3.0,0.0,2.0,3.0,0.0,3.0,3.0,3.0,2.0,6.0,3.0,0.0,5.0,6.0,2.0,4.0,5.0,0.0,3.0,0.75,3.33,3.0,2.67,4.0,2.79,Below Average
